,mg1655,r_eight,r_eighteen,r_fourteen,r_nine,r_nineteen,r_seventeen,r_thirty_six,r_three,r_twelve,r_twenty_six,r_two
mg1655,1,0.9969,0.9963,0.9959,0.9975,0.9965,0.9984,0.9967,0.9956,0.9967,0.9973,0.9961
r_eight,0.9969,1,0.9983,0.9956,0.9981,0.997,0.997,0.9961,0.9955,0.9953,0.9973,0.9958
r_eighteen,0.9963,0.9983,1,0.996,0.9988,0.9991,0.997,0.9985,0.998,0.9963,0.9983,0.9983
r_fourteen,0.9959,0.9956,0.996,1,0.9964,0.9967,0.9944,0.9966,0.9957,0.9972,0.9951,0.9972
r_nine,0.9975,0.9981,0.9988,0.9964,1,0.9984,0.9972,0.9985,0.9977,0.9962,0.9985,0.9972
r_nineteen,0.9965,0.997,0.9991,0.9967,0.9984,1,0.9969,0.9991,0.9987,0.9964,0.9983,0.9986
r_seventeen,0.9984,0.997,0.997,0.9944,0.9972,0.9969,1,0.997,0.9969,0.996,0.9981,0.9964
r_thirty_six,0.9967,0.9961,0.9985,0.9966,0.9985,0.9991,0.997,1,0.9992,0.997,0.9983,0.9984
r_three,0.9956,0.9955,0.998,0.9957,0.9977,0.9987,0.9969,0.9992,1,0.9956,0.9981,0.9981
r_twelve,0.9967,0.9953,0.9963,0.9972,0.9962,0.9964,0.996,0.997,0.9956,1,0.9952,0.997
r_twenty_six,0.9973,0.9973,0.9983,0.9951,0.9985,0.9983,0.9981,0.9983,0.9981,0.9952,1,0.9972
r_two,0.9961,0.9958,0.9983,0.9972,0.9972,0.9986,0.9964,0.9984,0.9981,0.997,0.9972,1
